year,month,val_geracao
2006,3,9.71
2006,4,344.18
2006,5,1724.6696
2006,6,8398.59
2006,7,17966.63
2006,8,27841.0
2006,9,36606.15
2006,10,51408.25
2006,11,47501.31
2006,12,45701.36
2007,1,44518.78
2007,2,36306.07
2007,3,28729.61
2007,4,37405.24
2007,5,39726.35
2007,6,39830.25
2007,7,45050.0
2007,8,65264.61
2007,9,54311.04
2007,10,67437.93
2007,11,48960.18
2007,12,51373.38
2008,1,54325.81
2008,2,42467.56
2008,3,29243.05
2008,4,22582.06
2008,5,41149.65
2008,6,41807.44
2008,7,37323.84
2008,8,52033.46
2008,9,62245.76
2008,10,58394.03
2008,11,64053.17
2008,12,51097.26
2009,1,43644.75
2009,2,32474.71
2009,3,40396.57
2009,4,24205.35
2009,5,29978.22
2009,6,42675.228
2009,7,40100.24
2009,8,58161.56
2009,9,87092.34
2009,10,103028.55
2009,11,108681.96
2009,12,99912.51
2010,1,82524.62
2010,2,109803.99
2010,3,108672.8
2010,4,66455.359
2010,5,88025.3658
2010,6,108748.2
2010,7,108483.1
2010,8,156266.837
2010,9,193164.55
2010,10,142161.15
2010,11,157932.05
2010,12,125133.09
2011,1,70895.3
2011,2,63545.3
2011,3,75603.98
2011,4,42688.3
2011,5,66097.75
2011,6,113012.3
2011,7,150133.03
2011,8,239803.58
2011,9,246533.74
2011,10,263157.43
2011,11,294414.03
2011,12,278548.34
2012,1,255802.789
2012,2,189529.932
2012,3,177013.005
2012,4,186787.406
2012,5,214478.611
2012,6,199149.943
2012,7,277711.304
2012,8,341665.911
2012,9,354367.364
2012,10,343743.908
2012,11,298164.21
2012,12,335399.979
2013,1,296020.566
2013,2,298421.331
2013,3,302282.819
2013,4,230064.947
2013,5,242658.105
2013,6,249770.293
2013,7,297106.814
2013,8,409897.56
2013,9,444695.786
2013,10,492303.239
2013,11,497975.086
2013,12,406029.881
2014,1,468114.030162
2014,2,427428.48768
2014,3,446970.72675335
2014,4,412877.71033259
2014,5,424044.98616135
2014,6,726800.02282389
2014,7,994823.7365631
2014,8,1176284.87593341
2014,9,1138450.46269699
2014,10,1352617.2972663
2014,11,1119589.00520081
2014,12,1193743.16669422
2015,1,1331756.24222316
2015,2,1071152.30997701
2015,3,1002632.47815272
2015,4,855434.97953987
2015,5,1406118.04436885
2015,6,1479133.13652986
2015,7,1753742.1106266
2015,8,2338266.1897998
2015,9,1997899.5816633
2015,10,2271079.76613166
2015,11,1922110.53294138
2015,12,2051324.49396296
2016,1,1271499.30082797
2016,2,1761776.303
2016,3,1915972.056
2016,4,2141772.71
2016,5,2245325.242
2016,6,2530658.162
2016,7,3098007.056
2016,8,3164303.126
2016,9,3326525.14
2016,10,3397267.221
2016,11,3070170.9
2016,12,2808149.894
2017,1,2653640.259
2017,2,2046555.2
2017,3,1945945.576
2017,4,2442842.046
2017,5,2617865.321
2017,6,3206029.595
2017,7,3931844.794
2017,8,4171559.246
2017,9,4822111.597
2017,10,4665886.128
2017,11,3764858.497
2017,12,3531331.518
2018,1,3268030.483
2018,2,2041527.248
2018,3,2168220.076
2018,4,2590857.609
2018,5,3572644.94
2018,6,4159298.779
2018,7,4840415.665
2018,8,4966604.427
2018,9,5253123.885
2018,10,4519505.592
2018,11,4881572.415
2018,12,3564527.003
2019,1,4145511.273
2019,2,2175544.734
2019,3,2532265.47323
2019,4,2572866.723
2019,5,3812161.783
2019,6,5076147.689
2019,7,5047622.055
2019,8,6287175.894
2019,9,5808611.756
2019,10,5904325.176
2019,11,5047455.509
2019,12,4980091.897
2020,1,2685623.673
2020,2,2710305.127
2020,3,2215236.919
2020,4,3039063.066
2020,5,3764506.827
2020,6,4842815.98
2020,7,5713729.817
2020,8,6626276.382
2020,9,6462122.038
2020,10,5593521.528
2020,11,4998341.191
2020,12,5443760.484
2021,1,5397353.255
2021,2,3498003.933
2021,3,4110966.996
2021,4,4606326.748
2021,5,5431575.888
2021,6,5984120.395
2021,7,7394454.371
2021,8,8399121.369
2021,9,8087442.578
2021,10,7435701.346
2021,11,6010732.895
2021,12,6128690.0225
2022,1,4738960.944
2022,2,4613552.929
2022,3,5472258.523
2022,4,5096418.726
2022,5,5982577.4005
2022,6,5924103.086
2022,7,8348661.311
2022,8,9334555.921
2022,9,9235083.571
2022,10,9718336.632
2022,11,6211097.222
2022,12,6538296.374
2023,1,6494718.977
2023,2,6690821.532
2023,3,6258100.081
2023,4,4966606.512
2023,5,7024568.19
2023,6,8756039.971
2023,7,10122771.883
2023,8,9278714.789
2023,9,9344526.374
2023,10,9845874.465
2023,11,8189615.812
2023,12,8405260.049
2024,1,5565846.19
2024,2,6339384.52
2024,3,5302217.979
2024,4,6003793.409
2024,5,8899729.807
2024,6,9744690.602
2024,7,2943314.941
